"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Zwyczaje godowe drobnego ptactwa wodnego Kolechii"
"SpyDocsInnerBack","A FULL REPORT","PEŁEN RAPORT"
"SpyDocsInnerBack","Ministry of Information","Ministerstwo Informacji"
"TranscriptInner","AUDIO TRANSCRIPT","TRANSKRYPT"
"VaccineCertInner","Certificate<span>of</span>Vaccination","KARTA<span>&nbsp;</span>SZCZEPIEŃ"
"VaccineCertInner","ID#","NR#"
"VaccineCertInner","DATE","DATA"
"VaccineCertInner","VACCINE","SZCZEPIONKA"
"VaccineCertInner","Vax valid for 3 years","Szczepienie ważne 3 lata"
"VisaSlipInner","TEMPORARY VISA SLIP","TYMCZASOWY KWIT WIZOWY"
"VisaSlipInner","ENTRY VISA","WIZA WJAZDOWA"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","TYLKO DLA CELÓW ODMOWY WJAZDU"
"WorkPermitInner","Ministry of Labor","Ministerstwo Pracy"
"WorkPermitInner","Work Pass","Zezwolenie na pracę"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Ta przepustka daje posiadaczowi prawo do pracy na wymienionej branży i w określonym czasie."
"WorkPermitInner","HOLDER","OSOBA"
"WorkPermitInner","FIELD","BRANŻA"
"WorkPermitInner","UNTIL","TERMIN"
"WorkPermitInner","Keep this pass with you at all times.","Należy zawsze mieć przy sobie."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechianie osiągnęli konsensus ws. Grestin"
"ApartmentClass","CLASS","KAT."
"DetainButton","DETAIN","ARESZT"
"FingerprintButton","FINGERPRINT","ODC. PALCÓW"
"SearchButton","SEARCH","REWIZJA"
"EmblemsMOA","M.O.A","M P L"
"EmblemsMOA","M.O.L","M P"
"EmblemsMOL","M.O.L","M P"
"Filer","CONFISCATED DOCUMENTS","SKONFISKOWANE DOKUMENTY"
"Filer","PROPERTY OF","WŁASNOŚĆ"
"Filer","M.O.A.","MPL"
"GiveIcon","GIVE","DAJ"
"LoadButtonNew","NEW","NOWY"
"LoadDay","DAY","DZIEŃ"
"LoadDrag","DRAG TO SCROLL","PRZECIĄGNIJ"
"News","The Truth of Arstotzka","Prawda Arstoczki"
"News","No Charge","Egz. bezpłatny"
"ReasonButton","REASON","POWÓD"
"RifleKill","KILL","ZABIJ"
"RifleTranq","TRANQ","UŚPIJ"
"StampBarMid","ALIGN VISA BENEATH STAMP","UMIEŚĆ PASZPORT POD STEMPLEM"
"Upgrades","SPACE","SPACJA"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","final/pl/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","ZAWIESIĆ NA ŚCIANIE"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","final/pl/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Wsch. Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","SPEŁNIJ SWOJE FANTAZJE!"
"image:PezpertInner.png","capture/PezpertInner.png","final/pl/PezpertInner.png"
"PezpertInner","STAMP HERE","&nbsp;"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","final/pl/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","zawiesiĆ na śCianie"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","final/pl/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","final/pl/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","final/pl/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","final/pl/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","final/pl/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","final/pl/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","final/pl/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","final/pl/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","final/pl/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","final/pl/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","final/pl/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","final/pl/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","final/pl/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","final/pl/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","final/pl/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Pogoda"
"news:RANDOM_SPORTS","Sports","Sport"
"news:RANDOM_ENTERTAINMENT","Entertainment","Rozrywka"
"news:RANDOM_POLITICS","Politics","Polityka"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Nareszcie otwarto przejście graniczne w Grestin!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Minęło 6 długich lat. Czy MPL zapewni nam bezpieczeństwo?"
"news:FIRST_DAY","Families To Reunite","Rodziny znów razem"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Przejście graniczne w Grestin wielkim sukcesem!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Koniec restrykcji, cudzoziemcy też przejdą"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Ekonomiści wróżą wzrost"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Dobre prognozy dla wymiany towarów i usług"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Terroryści uderzają w Grestin!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Podejrzani kolechiańscy podżegacze"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Ruch na granicy wstrzymany"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Więcej strażników - większa skrupulatność"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Czarny rynek kwitnie"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Rząd widzi przyczynę w pobieżnej kontroli granicznej"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Rozbudowa przejścia granicznego wstrzymana"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Coraz trudniej o pracę"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Imigranci zabierają miejscowym zatrudnienie"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolechiański przywódca składa skargę"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Przeszukania na granicy bezprawne?"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Kolejny atak na granicy w Grestin!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Zamachowiec-samobójca zmylił ochronę"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Kolejny cios w Grestin"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Samobójcze zamachy stają się codziennością"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Zlikwidowano gang handlarzy żywym towarem"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Celnik pochwycił mózg szajki"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Tancerki z klubu w Grestin zamordowane!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Imigrantki padły ofiarą handlu ludźmi"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Republia ściga celebrytę-mordercę!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestrade uciekł z kraju - ślad po nim zaginął"
"news:KILLERATHLETE","Vince Lestrade: Profile","Kim jest Vince Lestrade?"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Zabił dziewczynę z zazdrości?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade wpadł w Grestin!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Biegacz już nie ucieknie"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade widziany w Arstoczce"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade zatrzymany w Kolechii"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolechia przysyła negocjatora"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Handel głównym tematem rozmów"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Kolechiański oficjel był arstockim szpiegiem!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Zniknął ze stanowiska, najpewniej nie żyje"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Porządki w Kolechii - eliminują arstockich szpiegów"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Bohaterski agent zdemaskowany"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Kolechiańskie porządki - wielka czystka!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Seria zniknięć bez śladu."
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Kradzież w MPL!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Skromny łup złodziei"
"news:SECRET_SOCIETY","The History of Arstotzka","Historia Arstoczki"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","W obrazach i (przede wszystkim) słowach"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","Bezpieczna przystań bandytów"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstoczka zyskuje wątpliwą reputację"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Ministerstwa walczą o personel"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Potrzeba strażników i żołnierzy"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Konsolidacja i zmiany na granicy"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Czy sieć kontroli jest wystarczająco szczelna?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Incydent w Grestin obnaża słabość zabezpieczeń"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Spodziewane kolejne problemy"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Jednośladem w mur, czyli kolejny incydent w Grestin"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Ekstremiści rosną w siłę - Grestin jest dla nich Mekką"
"news:BORDER_TARGETED","Can The Wall Hold?","Czy mur wytrzyma?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Bezpieczeństwo granicy pod znakiem zapytania"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Skoordynowane ataki na granicę!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Nieznani napastnicy przechytrzyli strażników"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Dziurawa granica państwa"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Dziennikarz z Federacji obnaża nieścisłości w protokołach"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Żelazna granica państwa"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Zachodnie media donoszą o problemach z wizami"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Kolejny zamachowiec na granicy"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Przeszukania imigrantów bezskuteczne"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","Nowy dyrektor w MPL"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Obiecano ściślejszą kontrolę na granicy"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Antegria szpieguje swoich!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Informator ucieka z kraju"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Republia odmawia azylu antegryjskiemu informatorowi"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Informator z Antegrii zawrócony z granicy Federacji"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegryjski informator wpuszczony do Arstoczki"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Ryzykujemy złość sąsiadów"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegryjski informator przybył i zniknął"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegryjski informator zawrócony - nie wiadomo, gdzie przebywa"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Impor oprotestował ograniczenia w handlu"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Arstoczka oskarżana o nieuczciwą politykę celną"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Impor wprowadził sankcje handlowe!"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Embargo na import arstockich towarów"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Koniec sankcji Imporu!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Już po wszystkim? Co się stało?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Przełomowy zabieg na kręgosłupie udoskonalony"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Wszystko dzięki arstockim lekarzom"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Polio zbiera żniwo w Federacji"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Pojedyncze przypadki czy coś więcej?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Wybuch epidemii zagraża Federacji!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Niemal wyeliminowane polio uderza ponownie"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Ministerstwo Zdrowia troszczy się o obywateli"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Wzmocniona ochrona na granicy."
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Seryjny dzieciobójca uciekł z więzienia w Federacji!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens: czy arstocki zabójca powróci do domu?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Jatka w Gennistorze!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens znaleziony martwy. Identyfikacja utrudniona."
"news:EZIC_ATTACK0","Grestin Metro Halted","Metro w Grestin stanęło"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Zapadnięcie się tunelu mógł wywołać sabotaż"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Ewakuowano siedzibę rządu w Paradyźnie!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Wykryto podejrzany gaz - personel bezpieczny, zaginęły akta"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Szef Ministerstwa Finansów zaginął!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Rynek reaguje gwałtownym spadkiem"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Ofiary tajemniczej trucizny hospitalizowane"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Nieznany imigrant przemycił trującą substancję"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Zwołano obrady międzynarodowe"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestin pozostaje terenem spornym"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolechianie zwariowali"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Dziwaczne zachowanie negocjatora przerywa rozmowy"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Wstępny plan porozumienia"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Rozmowy z Kolechianami przynoszą rezultaty"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Przeszkody na drodze rezolucji Kolechian"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Sporne miasto dzieli narody"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Przyszłość przejścia granicznego niepewna"
"news:BORDER_CLOSING","Too Open, Too Soon?","Za wcześnie na otwartość?"
"text:language_code","en","pl"
"text:language_name","ENGLISH","POLSKI"
"text:language_author","Author","GameSub"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","autor: Lucas Pope"
"text:papers_please","Papers, please.","Dokumenty proszę."
"text:protocol_violated","Protocol Violated.","Naruszenie protokołu."
"text:unauth_confiscation","Unauthorized passport confiscation","Nieuprawniona konfiskata paszportu"
"text:missing_reason","Denial reason not given","Brak uzasadnienia odmowy"
"text:citation_warning","WARNING ISSUED - NO PENALTY","OSTRZEŻENIE - BEZ KARY"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","OSTATNIE OSTRZEŻENIE"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","NAŁOŻONO KARĘ - $0 KREDYTÓW"
"text:border_next","NEXT!","NASTĘPNY!"
"text:border_bomber","FOR KOLECHIA!","ZA KOLECHIĘ!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","WRÓĆCIE JUTRO O 6 RANO"
"text:border_announce0","ENTRY IS NOT GUARANTEED","NIE WSZYSTKICH WPUŚCIMY"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","PRZYGOTUJCIE DOKUMENTY"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","WITAMY W ARSTOCZCE"
"text:border_guardout","OUT!","WON!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","SYN"
"text:family_wife_budget","WIFE","ŻONA"
"text:family_niece_budget","NIECE","SIOSTRZENICA"
"text:family_uncle_budget","UNCLE","WUJEK"
"text:family_mil_budget","MIL","TEŚĆ"
"text:family_son_status","Son","Syn"
"text:family_wife_status","Wife","Żona"
"text:family_niece_status","Niece","Siostrzenica"
"text:family_uncle_status","Uncle","Wujek"
"text:family_mil_status","Mother-in-law","Teściowa"
"text:family_son_message","son","wasz syn"
"text:family_wife_message","wife","wasza żona"
"text:family_niece_message","niece","wasza siostrzenica"
"text:family_uncle_message","uncle","wasz wujek"
"text:family_mil_message","mother-in-law","wasza teściowa"
"text:night_endof","END OF","PODSUMOWANIE"
"text:night_day","DAY $0","DNIA $0"
"text:family_verysick_1","Your $0 will die without medicine.","Bez odpowiednich leków $0 umrze."
"text:family_verysick_many","Very sick family members will die without medicine.","Poważnie chorzy krewni umrą bez lekarstw."
"text:family_sick_1","Your $0 is sick and needs medicine.","Wygląda na to, że $0 choruje i potrzebuje leków."
"text:family_sick_many","Your family needs medicine.","Twoja rodzina potrzebuje leków."
"text:family_died_1","Your $0 has died.","Inspektorze, $0 nie żyje."
"text:family_died_2","Your $0 and $1 have died.","Inspektorze, $0 i $1 nie żyją."
"text:family_died_3","Your $0, $1, and $2 have died.","Inspektorze, $0, $1 i $2 nie żyją."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","Inspektorze, $0, $1, $2 i $3 nie żyją."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Inspektorze, $0, $1, $2, $3 i $4 nie żyją."
"text:family_escape_with_0","You leave behind everything.","Zostawiacie za sobą wszystko."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","Razem z wami do Orbistanu wyrusza $0."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","Razem z wami do Orbistanu wyruszają $0 i $1."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","Razem z wami do Orbistanu wyruszają $0, $1 i $2."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","Razem z wami do Orbistanu wyruszają $0, $1, $2 i $3."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","Razem z wami do Orbistanu wyruszają $0, $1, $2, $3 i $4."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","W mieszkaniu w Grestin $0 szykuje się do powrotu do Nirska."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","W mieszkaniu w Grestin $0 i $1 szykują się do powrotu do Nirska."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","W mieszkaniu w Grestin $0, $1 i $2 szykują się do powrotu do Nirska."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","W mieszkaniu w Grestin $0, $1, $2 i $3 szykują się do powrotu do Nirska."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","W mieszkaniu w Grestin $0, $1, $2, $3 i $4 szykują się do powrotu do Nirska."
"text:family_flee_final_0","Obristan Above All","Obristan ponad wszystko!"
"text:family_flee_final_1","The safety of your $0 is unknown.","Nie wiadomo, gdzie przebywa $0."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","Nie wiadomo, gdzie przebywają $0 i $1."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","Nie wiadomo, gdzie przebywają $0, $1 i $2."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","Nie wiadomo, gdzie przebywają $0, $1, $2 i $3."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","Nie wiadomo, gdzie przebywają $0, $1, $2, $3 i $4."
"text:budget_savings","SAVINGS","OSZCZĘDNOŚCI"
"text:budget_salary","SALARY ($0)","PENSJA ($0)"
"text:budget_penalties","PENALTIES ($0)","KARY ($0)"
"text:budget_bribes","BRIBES","ŁAPÓWKI"
"text:budget_rent","RENT","CZYNSZ"
"text:budget_food","FOOD","JEDZENIE"
"text:budget_heat","HEAT","OGRZEWANIE"
"text:budget_medicine","MEDICINE ($0)","LEKI ($0)"
"text:budget_sleep","SLEEP","IDŹ SPAĆ"
"text:budget_escape","ESCAPE","UCIECZKA"
"text:menu_back","BACK","WSTECZ"
"text:confirm_ok","OKAY","POTWIERDŹ"
